ID,Class
1,12
2,13
3,38
4,13
5,24
6,50
7,13
8,13
9,13
10,38
11,37
12,13
13,13
14,39
15,39
16,24
17,13
18,39
19,12
20,39
21,13
22,39
23,24
24,39
25,13
26,13
27,24
28,39
29,12
30,12
31,24
32,24
33,13
34,24
35,13
36,12
37,13
38,24
39,39
40,13
41,12
42,13
43,24
44,50
45,39
46,39
47,13
48,39
49,24
50,24
51,44
52,24
53,39
54,38
55,12
56,6
57,44
58,38
59,39
60,12
61,37
62,13
63,39
64,38
65,39
66,24
67,24
68,39
69,12
70,37
71,37
72,38
73,39
74,37
75,13
76,39
77,24
78,38
79,13
80,13
81,24
82,24
83,39
84,12
85,13
86,13
87,13
88,12
89,24
90,39
91,38
92,13
93,24
94,12
95,24
96,39
97,38
98,24
99,24
100,12
101,13
102,39
103,13
104,12
105,24
106,39
107,13
108,39
109,13
110,24
111,12
112,24
113,50
114,39
115,13
116,38
117,13
118,13
119,12
120,13
121,13
122,12
123,24
124,39
125,50
126,39
127,13
128,24
129,50
130,12
131,13
132,24
133,24
134,12
135,12
136,39
137,6
138,44
139,12
140,12
141,38
142,39
143,13
144,39
145,38
146,50
147,24
148,38
149,24
150,13
151,24
152,39
153,38
154,50
155,13
156,24
157,39
158,24
159,24
160,39
161,13
162,24
163,39
164,13
165,12
166,38
167,13
168,13
169,13
170,12
171,12
172,39
173,13
174,37
175,24
176,12
177,24
178,39
179,24
180,13
181,13
182,24
183,24
184,24
185,13
186,13
187,12
188,13
189,12
190,39
191,24
192,13
193,37
194,38
195,38
196,37
197,38
198,13
199,13
200,24
201,39
202,38
203,24
204,12
205,37
206,13
207,24
208,13
209,12
210,38
211,13
212,39
213,12
214,24
215,39
216,24
217,39
218,24
219,12
220,37
221,39
222,50
223,13
224,44
225,37
226,13
227,24
228,13
229,44
230,24
231,13
232,13
233,13
234,24
235,13
236,12
237,39
238,12
239,12
240,38
241,24
242,24
243,13
244,12
245,13
246,13
247,24
248,13
249,50
250,13
251,39
252,13
253,12
254,24
255,13
256,37
257,13
258,24
259,39
260,39
261,50
262,12
263,12
264,12
265,39
266,50
267,12
268,24
269,12
270,12
271,12
272,39
273,39
274,13
275,13
276,24
277,38
278,12
279,12
280,12
281,13
282,13
283,39
284,39
285,12
286,12
287,12
288,50
289,24
290,39
291,39
292,13
293,24
294,13
295,12
296,24
297,38
298,39
299,13
300,39
301,44
302,37
303,13
304,37
305,39
306,38
307,39
308,12
309,39
310,13
